annotation_id,annotator,categories,comment,created_at,id,lead_time,rating,updated_at,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
52,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",оперативно и качественно спасибо,2025-05-16T11:18:24.547933Z,3873692,23.922,5,2025-05-16T11:18:24.547933Z,0,1,0,1,0
53,1,Вопрос решен,благодарю всего доброго,2025-05-16T11:18:28.917508Z,3875262,3.966,5,2025-05-16T11:18:28.917508Z,1,0,0,0,0
54,1,Нравится качество работы сотрудников,к мастеру вопросов нет,2025-05-16T11:18:40.769932Z,3877334,11.474,3,2025-05-16T11:18:40.769932Z,0,0,1,0,0
55,1,Нравится качество работы сотрудников,мастер быстро решил проблему всё исправил очень довольна спасибо,2025-05-16T11:18:48.593286Z,3877901,7.432,5,2025-05-16T11:18:48.593286Z,0,0,1,0,0
56,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",вытяжка заработала спасибо отдельное спасибо мастеру который сообщил что нет причин препятствующих подключению вытяжки к домовой вентиляции,2025-05-16T11:19:02.106476Z,3878088,13.171,5,2025-05-16T11:19:02.106476Z,0,0,1,0,1
57,1,Вопрос решен,спасибо большое надолго ли,2025-05-16T11:19:08.046523Z,3878555,5.581,5,2025-05-16T11:19:08.046523Z,1,0,0,0,0
58,1,Понравилось выполнение заявки,всё очень четко организовано большое спасибо за работу,2025-05-16T11:19:18.939526Z,3879856,10.534,5,2025-05-16T11:19:18.939526Z,0,0,0,0,1
59,1,Понравилось выполнение заявки,спасибо вам большое и за дверь и за номера квартир,2025-05-16T11:19:29.760156Z,3880345,10.411,5,2025-05-16T11:19:29.760156Z,0,0,0,0,1
60,1,Другое,снимаю звезду за первую отписку без выполнения работ,2025-05-16T11:19:42.788810Z,3880717,12.672,3,2025-05-16T11:19:42.788810Z,0,0,0,0,0
61,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",в день создания заявки рабочие оперативно пришли и весь ужас убрали огромная благодарность,2025-05-16T11:19:51.449246Z,3881004,8.322,5,2025-05-16T11:19:51.449246Z,0,0,1,0,1
62,1,Понравилось выполнение заявки,спасибо все заработало,2025-05-16T11:19:55.945961Z,3881460,4.159,5,2025-05-16T11:19:55.945961Z,0,0,0,0,1
63,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",спасибо решили мой вопрос на месте в офисе,2025-05-16T11:20:07.483099Z,3881636,11.125,5,2025-05-16T11:20:07.483099Z,1,0,0,0,1
64,1,Нравится качество работы сотрудников,спасибо больше ольге птушкине за проделанную работу,2025-05-16T11:20:20.547613Z,3882840,12.694,5,2025-05-16T11:20:20.547613Z,0,0,1,0,0
65,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",всё сделали хорошо починили вовремя наверное молодцы,2025-05-16T11:20:32.293038Z,3883200,11.393,5,2025-05-16T11:20:32.293038Z,0,0,1,0,1
66,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",супер спасибо,2025-05-16T11:20:39.866236Z,3883549,7.229,5,2025-05-16T11:20:39.866236Z,1,0,0,0,1
67,1,Понравилось выполнение заявки,отлично все выполнили как и обещали,2025-05-16T11:20:46.088775Z,3883658,5.866,5,2025-05-16T11:20:46.088775Z,0,0,0,0,1
68,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",очень оперативно спасибо большое,2025-05-16T11:20:52.573772Z,3883736,6.124,5,2025-05-16T11:20:52.573772Z,0,0,0,1,1
69,1,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",мастер андрей помог подобрать оборудование краны переходники для подключения быстро и качественно произвел подключение стиральной машинки огромное ему спасибо,2025-05-16T11:22:18.476791Z,3883745,85.534,5,2025-05-16T11:22:18.476791Z,1,0,1,0,0
70,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",умело подкрутили редукторы давления молодец,2025-05-16T11:22:27.862337Z,3884964,9.009,5,2025-05-16T11:22:27.862337Z,0,0,1,0,1
71,1,Понравилось выполнение заявки,все хорошо дверь практически бесшумно закрывается,2025-05-16T11:22:37.919952Z,3885089,9.677,5,2025-05-16T11:22:37.919952Z,0,0,0,0,1
72,1,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",проблемы как таковой не было я в процессе поиска страх компании и всего лишь спасибо сотрудникам,2025-05-16T11:22:53.686807Z,3886150,15.36,5,2025-05-16T11:22:53.686807Z,1,0,1,0,0
73,1,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",быстро чётко без проблем одно слово мастер,2025-05-16T11:23:00.292575Z,3886231,6.259,5,2025-05-16T11:23:00.292575Z,1,0,1,0,0
74,1,Вопрос решен,работает спасибо,2025-05-16T11:23:03.720449Z,3886721,2.992,5,2025-05-16T11:23:03.720449Z,1,0,0,0,0
75,1,Вопрос решен,сегодня ездил все исправно работает спасибо,2025-05-16T11:23:09.867129Z,3886923,5.786,5,2025-05-16T11:23:09.867129Z,1,0,0,0,0
76,1,Вопрос решен,спасибо большое всё понятно,2025-05-16T11:23:17.993189Z,3886937,7.752,5,2025-05-16T11:23:17.993189Z,1,0,0,0,0
77,1,Нравится качество работы сотрудников,татьяна спасибо,2025-05-16T11:23:22.035324Z,3887002,3.684,5,2025-05-16T11:23:22.035324Z,0,0,1,0,0
78,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",на вопрос ответили крепления нельзя повесить в колясочной,2025-05-16T11:24:00.378548Z,3887203,37.971,5,2025-05-16T11:24:00.378548Z,1,0,0,0,1
79,1,Вопрос решен,большое спасибо,2025-05-16T11:24:03.742618Z,3887228,2.9,5,2025-05-16T11:24:03.742618Z,1,0,0,0,0
80,1,Вопрос решен,лучший,2025-05-16T11:24:07.747261Z,3887353,3.648,5,2025-05-16T11:24:07.747261Z,1,0,0,0,0
81,1,Нравится скорость отработки заявок,спасибо за то что быстро отреагировали,2025-05-16T11:24:13.638575Z,3887392,5.565,5,2025-05-16T11:24:13.638575Z,0,0,0,1,0
82,1,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",сервис на высоте мастер профессионал,2025-05-16T11:24:22.690291Z,3887422,8.633,5,2025-05-16T11:24:22.690291Z,0,1,1,0,0
83,1,Другое,ок,2025-05-16T11:24:27.780062Z,3887606,4.658,1,2025-05-16T11:24:27.780062Z,0,0,0,0,0
84,1,Другое,надолго ли,2025-05-16T11:24:32.132397Z,3887614,4.003,2,2025-05-16T11:24:32.132397Z,0,0,0,0,0
85,1,Вопрос решен,спасибо все работает,2025-05-16T11:24:36.231626Z,3887743,3.763,5,2025-05-16T11:24:36.231626Z,1,0,0,0,0
86,1,Нравится качество выполнения заявки,заявка выполнена спасибо,2025-05-16T11:24:55.201865Z,3887844,18.631,5,2025-05-16T11:24:55.201865Z,0,1,0,0,0
87,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",дверь закрывается намного лучше,2025-05-16T11:25:05.652816Z,3887922,10.064,5,2025-05-16T11:25:05.652816Z,1,0,0,0,1
88,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",спасибо за быстрое реагирование,2025-05-16T11:25:22.575339Z,3888009,16.585,5,2025-05-16T11:25:22.575339Z,0,0,0,1,1
89,1,Нравится скорость отработки заявок,оперативно сработали благодарю,2025-05-16T11:25:27.001808Z,3888318,4.036,5,2025-05-16T11:25:27.001808Z,0,0,0,1,0
90,1,Нравится качество работы сотрудников,спасибо сантехнику алексею все сделано качественно,2025-05-16T11:25:40.358202Z,3888354,12.901,5,2025-05-16T11:25:40.358202Z,0,0,1,0,0
91,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику прибывшему в воскресенье через минут после написания заявки все решилось наилучшим образом вот так бы все вопросы оперативно решались,2025-05-16T11:26:13.567148Z,3888539,32.776,5,2025-05-16T11:26:13.567148Z,0,0,1,1,0
92,1,Нравится скорость отработки заявок,очень оперативно и никуда не пришлось ходить,2025-05-16T11:26:31.474405Z,3888591,17.558,5,2025-05-16T11:26:31.474405Z,0,0,0,1,0
93,1,Вопрос решен,проблема решена,2025-05-16T11:26:36.114790Z,3888606,4.205,5,2025-05-16T11:26:36.114790Z,1,0,0,0,0
94,1,Нравится скорость отработки заявок,очень оперативно отреагировали спасибо,2025-05-16T11:26:43.198955Z,3888633,6.744,5,2025-05-16T11:26:43.198955Z,0,0,0,1,0
95,1,Нравится скорость отработки заявок,оперативно качественно вопросов не возникло спасибо,2025-05-16T11:26:52.857550Z,3888794,9.292,5,2025-05-16T11:26:52.857550Z,0,0,0,1,0
96,1,Понравилось выполнение заявки,благодарю за оперативность,2025-05-16T11:27:01.138935Z,3888828,7.869,5,2025-05-16T11:27:01.138935Z,0,0,0,0,1
97,1,Нравится скорость отработки заявок,спасибо за оперативное решение проблемы,2025-05-16T11:31:21.793926Z,3889213,260.271,5,2025-05-16T11:31:21.793926Z,0,0,0,1,0
98,1,Нравится скорость отработки заявок,оперативная работа,2025-05-16T11:31:35.331983Z,3889473,13.038,1,2025-05-16T11:31:35.331983Z,0,0,0,1,0
99,1,Понравилось выполнение заявки,оперативное решение проблемы,2025-05-16T11:31:43.222160Z,3889502,7.525,5,2025-05-16T11:31:43.222160Z,0,0,0,0,1
100,1,Нравится скорость отработки заявок,первый раз вы решили вопрос быстро,2025-05-16T11:31:52.550264Z,3889542,8.834,5,2025-05-16T11:31:52.550264Z,0,0,0,1,0
101,1,Вопрос решен,отлично спасибо,2025-05-16T16:18:39.697084Z,3889783,17206.0,5,2025-05-16T16:18:39.697084Z,1,0,0,0,0
102,1,Нравится качество работы сотрудников,спасибо большое татьяна,2025-05-16T16:18:46.738573Z,3889827,6.627,5,2025-05-16T16:18:46.738573Z,0,0,1,0,0
103,1,Нравится качество работы сотрудников,лучший мастер на свете спасибо большое,2025-05-16T16:18:51.134127Z,3889956,3.997,5,2025-05-16T16:18:51.134127Z,0,0,1,0,0
104,1,Понравилось выполнение заявки,спасибо большое что починили домофон,2025-05-16T16:19:03.596559Z,3890030,12.091,5,2025-05-16T16:19:03.597629Z,0,0,0,0,1
105,1,Вопрос решен,отличная работа,2025-05-16T16:19:08.189419Z,3890209,4.217,5,2025-05-16T16:19:08.189419Z,1,0,0,0,0
106,1,Понравилось выполнение заявки,спасибо огромное за помощь,2025-05-16T16:19:21.516843Z,3890231,12.894,5,2025-05-16T16:19:21.516843Z,0,0,0,0,1
107,1,Вопрос решен,обычная услуга цена правда завышена за около ти минут работы,2025-05-16T16:19:33.283770Z,3890239,11.402,5,2025-05-16T16:19:33.283770Z,1,0,0,0,0
108,1,Понравилось выполнение заявки,отличная работа теперь дверь закрывается плавно спасибо,2025-05-16T16:19:52.404960Z,3890275,18.72,5,2025-05-16T16:19:52.404960Z,0,0,0,0,1
109,1,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}",все супер быстро спасибо,2025-05-16T16:20:01.855427Z,3890393,9.08,5,2025-05-16T16:20:01.855427Z,1,0,0,1,0
110,1,Понравилось выполнение заявки,оперативно спасибо,2025-05-16T16:20:06.912466Z,3890484,4.583,5,2025-05-16T16:20:06.912466Z,0,0,0,0,1
111,1,Понравилось выполнение заявки,супер,2025-05-16T16:20:11.757298Z,3890486,4.432,5,2025-05-16T16:20:11.757298Z,0,0,0,0,1
112,1,Понравилось выполнение заявки,молодцы оперативно,2025-05-16T16:20:16.139707Z,3890517,3.886,5,2025-05-16T16:20:16.139707Z,0,0,0,0,1
113,1,Нравится скорость отработки заявок,вопрос решился быстро спасибо,2025-05-16T16:20:32.120437Z,3890604,15.606,5,2025-05-16T16:20:32.120437Z,0,0,0,1,0
114,1,Нравится качество работы сотрудников,александру спасибо за объяснение причины бульканья,2025-05-16T16:20:36.989351Z,3890678,4.491,5,2025-05-16T16:20:36.989351Z,0,0,1,0,0
115,1,Понравилось выполнение заявки,спасибо всё быстро,2025-05-16T16:20:41.292875Z,3890716,3.885,5,2025-05-16T16:20:41.292875Z,0,0,0,0,1
116,1,Понравилось выполнение заявки,спасибо исправили мою ошибку,2025-05-16T16:20:45.911105Z,3890985,4.245,5,2025-05-16T16:20:45.911105Z,0,0,0,0,1
117,1,Нравится качество работы сотрудников,мастер сделал все очень быстро и аккуратно,2025-05-16T16:20:51.194752Z,3891095,4.911,5,2025-05-16T16:20:51.194752Z,0,0,1,0,0
118,1,Нравится качество работы сотрудников,очень вежливый и профессиональный мастер устранил все недочеты оперативно и качественно просто отлично спасибо,2025-05-16T16:20:58.597561Z,3891325,7.049,5,2025-05-16T16:20:58.597561Z,0,0,1,0,0
119,1,Нравится качество работы сотрудников,иван огромное спасибо вам,2025-05-16T16:21:02.585863Z,3891380,3.635,5,2025-05-16T16:21:02.585863Z,0,0,1,0,0
120,1,Понравилось выполнение заявки,среагировали за минут,2025-05-16T16:21:08.705015Z,3891477,5.768,5,2025-05-16T16:21:08.705015Z,0,0,0,0,1
121,1,Нравится качество работы сотрудников,спасибо специалисту роману который помог мне наконец то решить мой вопрос очень грамотный и вежливый специалист,2025-05-16T16:21:18.301966Z,3891489,9.188,5,2025-05-16T16:21:18.301966Z,0,0,1,0,0
122,1,Нравится качество работы сотрудников,спасибо в тот же день электрик решил проблему,2025-05-16T16:21:24.223825Z,3891568,5.584,5,2025-05-16T16:21:24.223825Z,0,0,1,0,0
123,1,Нравится качество работы сотрудников,лифт и полы помыли большое спасибо за уборку ждём установку зеркал в лифтах,2025-05-16T16:21:31.520122Z,3891612,6.88,5,2025-05-16T16:21:31.521123Z,0,0,1,0,0
124,1,Понравилось выполнение заявки,да все верно спасибо,2025-05-16T16:21:39.207194Z,3891850,7.29,5,2025-05-16T16:21:39.207194Z,0,0,0,0,1
125,1,Понравилось выполнение заявки,спасибо всё бистро устранили,2025-05-16T16:21:45.754721Z,3891871,6.125,5,2025-05-16T16:21:45.754721Z,0,0,0,0,1
126,1,Вопрос решен,спасибо вроде бы стало лучше,2025-05-16T16:21:52.640473Z,3891943,6.531,4,2025-05-16T16:21:52.640473Z,1,0,0,0,0
127,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",спасибо большое за вашу быструю и профессиональную помощь,2025-05-16T16:22:03.706028Z,3892115,10.67,5,2025-05-16T16:22:03.706028Z,0,0,1,1,0
128,1,Нравится скорость отработки заявок,все быстро не смотря на поздний час,2025-05-16T16:22:13.673311Z,3892189,9.593,5,2025-05-16T16:22:13.673311Z,0,0,0,1,0
129,1,Нравится скорость отработки заявок,ответ был предоставлен оперативно и в полном объеме,2025-05-16T16:22:21.572406Z,3892432,7.549,5,2025-05-16T16:22:21.572406Z,0,0,0,1,0
130,1,Нравится качество работы сотрудников,спасибо огромное напор стал отличным,2025-05-16T16:22:32.195105Z,3892474,10.175,5,2025-05-16T16:22:32.195105Z,0,0,1,0,0
131,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",спасибо там правда все убрали и стало прям чисто если можете еще отмыть пятна чего то буду очень вам признателен возможно там нужна не только тряпка,2025-05-16T16:22:54.862059Z,3892548,22.319,5,2025-05-16T16:22:54.862059Z,0,0,1,0,1
132,1,Вопрос решен,сделали,2025-05-16T16:22:59.380665Z,3892589,4.157,5,2025-05-16T16:22:59.380665Z,1,0,0,0,0
133,1,Нравится качество работы сотрудников,спасибо мастеру сергею за четкую работу,2025-05-16T16:23:03.577221Z,3892591,3.858,5,2025-05-16T16:23:03.577221Z,0,0,1,0,0
134,1,Вопрос решен,наконец то очень надеюсь что через дня он не встанет снова,2025-05-16T16:23:10.552835Z,3892629,6.626,4,2025-05-16T16:23:10.552835Z,1,0,0,0,0
135,1,Понравилось выполнение заявки,благодарим очень оперативно,2025-05-16T16:23:16.723535Z,3892632,5.819,5,2025-05-16T16:23:16.723535Z,0,0,0,0,1
136,1,Нравится качество работы сотрудников,быстро мастеру большое спасибо,2025-05-16T16:23:24.960728Z,3892659,7.894,5,2025-05-16T16:23:24.960728Z,0,0,1,0,0
137,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",вопрос решен быстро спасибо мастеру фото выполненной работы приложил и даже позвонил,2025-05-16T16:23:35.485755Z,3892748,10.156,5,2025-05-16T16:23:35.485755Z,0,0,1,1,0
138,1,Понравилось выполнение заявки,главное что проблема решена спасибо,2025-05-16T16:23:41.952409Z,3892858,6.1,5,2025-05-16T16:23:41.952409Z,0,0,0,0,1
139,1,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",спасибо все сделали быстро очень вежливые сотрудники,2025-05-16T16:23:48.249023Z,3892909,5.85,5,2025-05-16T16:23:48.249023Z,0,0,1,0,1
140,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",спасибо что решили проблему оперативно,2025-05-16T16:24:03.741399Z,3892910,15.018,5,2025-05-16T16:24:03.741399Z,0,0,0,1,1
141,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",оперативно внимательно вежливо спасибо,2025-05-16T16:24:10.459784Z,3893074,6.27,5,2025-05-16T16:24:10.459784Z,0,1,0,1,0
142,1,Нравится скорость отработки заявок,спасибо всё оперативно сделали,2025-05-16T16:24:14.329353Z,3893110,3.448,5,2025-05-16T16:24:14.329353Z,0,0,0,1,0
143,1,Нравится качество работы сотрудников,была распечатана бумажная квитанция хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение самолет ук,2025-05-16T16:24:26.154741Z,3893437,11.452,5,2025-05-16T16:24:26.154741Z,0,0,1,0,0
144,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",заявка быстра принята в работу проблема решена спасибо,2025-05-16T16:24:31.639170Z,3893476,4.917,5,2025-05-16T16:24:31.639170Z,0,1,0,1,0
145,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",молодцы быстро,2025-05-16T16:24:37.809666Z,3893532,5.761,5,2025-05-16T16:24:37.809666Z,0,0,0,1,1
146,1,Нравится скорость отработки заявок,спасибо большое за оперативность,2025-05-16T16:24:43.074912Z,3893735,4.875,5,2025-05-16T16:24:43.074912Z,0,0,0,1,0
